id_log_transaccion,id_tipo_transaccion,id_tarjeta,id_cuenta_c,id_cuenta_d,id_estado_transaccion,fecha_operacion,fecha,hora,monto_operacion
71,1,3,1,,1,2021-05-01 04:00:00,2021-05-01,04:00:00,7
72,2,,11,1,1,2021-05-01 04:00:00,2021-05-01,04:00:00,1
73,1,4,1,,1,2021-05-01 04:00:00,2021-05-01,04:00:00,17
74,3,10,,10,1,2021-05-01 04:00:00,2021-05-01,04:00:00,2
75,3,11,,11,1,2021-05-01 04:00:00,2021-05-01,04:00:00,8
76,2,,11,7,1,2021-05-01 04:00:00,2021-05-01,04:00:00,8
77,1,6,1,,1,2021-05-01 04:00:00,2021-05-01,04:00:00,1
78,2,,6,2,1,2021-05-01 04:00:00,2021-05-01,04:00:00,14
79,3,7,,7,1,2021-05-01 04:00:00,2021-05-01,04:00:00,1
80,1,11,1,,1,2021-05-01 05:00:00,2021-05-01,05:00:00,15
81,2,,5,10,1,2021-05-01 05:00:00,2021-05-01,05:00:00,7
82,2,,5,4,1,2021-05-01 05:00:00,2021-05-01,05:00:00,3
83,3,3,,3,1,2021-05-01 05:00:00,2021-05-01,05:00:00,29
84,2,,5,8,1,2021-05-01 05:00:00,2021-05-01,05:00:00,20
85,1,6,1,,1,2021-05-01 05:00:00,2021-05-01,05:00:00,15
86,2,,8,6,1,2021-05-01 05:00:00,2021-05-01,05:00:00,19
87,1,3,1,,1,2021-05-01 05:00:00,2021-05-01,05:00:00,11
88,1,4,1,,1,2021-05-01 05:00:00,2021-05-01,05:00:00,10
89,3,1,,1,1,2021-05-01 05:00:00,2021-05-01,05:00:00,22
90,1,4,1,,1,2021-05-01 05:00:00,2021-05-01,05:00:00,3
91,1,4,1,,1,2021-05-01 06:00:00,2021-05-01,06:00:00,20
92,2,,6,4,1,2021-05-01 06:00:00,2021-05-01,06:00:00,7
93,1,8,1,,1,2021-05-01 06:00:00,2021-05-01,06:00:00,15
94,3,5,,5,1,2021-05-01 06:00:00,2021-05-01,06:00:00,16
95,1,3,1,,1,2021-05-01 06:00:00,2021-05-01,06:00:00,17
96,1,8,1,,1,2021-05-01 06:00:00,2021-05-01,06:00:00,5
97,3,9,,9,1,2021-05-01 06:00:00,2021-05-01,06:00:00,11
98,1,4,1,,1,2021-05-01 06:00:00,2021-05-01,06:00:00,14
99,2,,3,8,1,2021-05-01 06:00:00,2021-05-01,06:00:00,1
100,1,6,1,,1,2021-05-01 06:00:00,2021-05-01,06:00:00,9
101,3,8,,8,1,2021-05-01 06:00:00,2021-05-01,06:00:00,7
102,1,2,1,,1,2021-05-01 06:00:00,2021-05-01,06:00:00,12
103,3,9,,9,1,2021-05-01 06:00:00,2021-05-01,06:00:00,3
104,3,7,,7,1,2021-05-01 06:00:00,2021-05-01,06:00:00,1
105,2,,2,5,1,2021-05-01 06:00:00,2021-05-01,06:00:00,11
106,2,,9,10,1,2021-05-01 06:00:00,2021-05-01,06:00:00,17
107,3,9,,9,1,2021-05-01 06:00:00,2021-05-01,06:00:00,1
108,1,6,1,,1,2021-05-01 06:00:00,2021-05-01,06:00:00,15
109,2,,3,1,1,2021-05-01 06:00:00,2021-05-01,06:00:00,20
110,3,4,,4,1,2021-05-01 06:00:00,2021-05-01,06:00:00,45
111,2,,3,8,1,2021-05-01 07:00:00,2021-05-01,07:00:00,8
112,2,,11,9,1,2021-05-01 07:00:00,2021-05-01,07:00:00,13
113,3,11,,11,1,2021-05-01 07:00:00,2021-05-01,07:00:00,17
114,1,11,1,,1,2021-05-01 07:00:00,2021-05-01,07:00:00,10
115,3,10,,10,1,2021-05-01 07:00:00,2021-05-01,07:00:00,10
116,1,7,1,,1,2021-05-01 07:00:00,2021-05-01,07:00:00,15
117,3,8,,8,1,2021-05-01 07:00:00,2021-05-01,07:00:00,1
118,3,4,,4,1,2021-05-01 07:00:00,2021-05-01,07:00:00,22
119,1,9,1,,1,2021-05-01 07:00:00,2021-05-01,07:00:00,2
120,1,7,1,,1,2021-05-01 07:00:00,2021-05-01,07:00:00,2
121,1,1,1,,1,2021-05-01 07:00:00,2021-05-01,07:00:00,20
122,2,,11,9,1,2021-05-01 07:00:00,2021-05-01,07:00:00,11
123,2,,9,2,1,2021-05-01 07:00:00,2021-05-01,07:00:00,15
124,3,1,,1,1,2021-05-01 07:00:00,2021-05-01,07:00:00,10
125,1,8,1,,1,2021-05-01 07:00:00,2021-05-01,07:00:00,18
126,1,3,1,,1,2021-05-01 07:00:00,2021-05-01,07:00:00,4
127,2,,4,9,1,2021-05-01 08:00:00,2021-05-01,08:00:00,10
128,2,,5,10,1,2021-05-01 08:00:00,2021-05-01,08:00:00,3
129,3,6,,6,1,2021-05-01 08:00:00,2021-05-01,08:00:00,30
130,3,9,,9,1,2021-05-01 08:00:00,2021-05-01,08:00:00,1
131,3,2,,2,1,2021-05-01 08:00:00,2021-05-01,08:00:00,2
132,3,4,,4,1,2021-05-01 08:00:00,2021-05-01,08:00:00,1
133,3,4,,4,1,2021-05-01 08:00:00,2021-05-01,08:00:00,1
134,2,,4,10,1,2021-05-01 08:00:00,2021-05-01,08:00:00,16
135,1,7,1,,1,2021-05-01 08:00:00,2021-05-01,08:00:00,1
136,3,11,,11,1,2021-05-01 08:00:00,2021-05-01,08:00:00,6
137,3,8,,8,1,2021-05-01 09:00:00,2021-05-01,09:00:00,13
138,1,1,1,,1,2021-05-01 09:00:00,2021-05-01,09:00:00,8
139,1,8,1,,1,2021-05-01 09:00:00,2021-05-01,09:00:00,19
140,2,,4,7,1,2021-05-01 09:00:00,2021-05-01,09:00:00,16
141,2,,1,7,1,2021-05-01 09:00:00,2021-05-01,09:00:00,10
142,1,7,1,,1,2021-05-01 09:00:00,2021-05-01,09:00:00,12
143,1,11,1,,1,2021-05-01 09:00:00,2021-05-01,09:00:00,5
144,1,7,1,,1,2021-05-01 09:00:00,2021-05-01,09:00:00,6
145,3,11,,11,1,2021-05-01 09:00:00,2021-05-01,09:00:00,12
146,2,,4,10,1,2021-05-01 09:00:00,2021-05-01,09:00:00,13
147,1,1,1,,1,2021-05-01 09:00:00,2021-05-01,09:00:00,6
148,2,,11,9,1,2021-05-01 10:00:00,2021-05-01,10:00:00,9
149,3,4,,4,1,2021-05-01 10:00:00,2021-05-01,10:00:00,1
150,2,,2,7,1,2021-05-01 10:00:00,2021-05-01,10:00:00,11
151,1,11,1,,1,2021-05-01 10:00:00,2021-05-01,10:00:00,2
152,1,7,1,,1,2021-05-01 10:00:00,2021-05-01,10:00:00,17
153,3,8,,8,1,2021-05-01 10:00:00,2021-05-01,10:00:00,4
154,2,,2,4,1,2021-05-01 10:00:00,2021-05-01,10:00:00,8
155,3,4,,4,1,2021-05-01 10:00:00,2021-05-01,10:00:00,0
156,1,7,1,,1,2021-05-01 10:00:00,2021-05-01,10:00:00,8
157,2,,6,9,1,2021-05-01 10:00:00,2021-05-01,10:00:00,5
158,3,9,,9,1,2021-05-01 10:00:00,2021-05-01,10:00:00,1
159,3,7,,7,1,2021-05-01 10:00:00,2021-05-01,10:00:00,56
160,1,7,1,,1,2021-05-01 10:00:00,2021-05-01,10:00:00,1
161,2,,6,3,1,2021-05-01 10:00:00,2021-05-01,10:00:00,15
162,3,7,,7,1,2021-05-01 10:00:00,2021-05-01,10:00:00,4
163,3,10,,10,1,2021-05-01 10:00:00,2021-05-01,10:00:00,12
164,3,9,,9,1,2021-05-01 11:00:00,2021-05-01,11:00:00,0
165,1,6,1,,1,2021-05-01 11:00:00,2021-05-01,11:00:00,6
166,2,,9,6,1,2021-05-01 11:00:00,2021-05-01,11:00:00,6
167,1,8,1,,1,2021-05-01 11:00:00,2021-05-01,11:00:00,20
168,3,10,,10,1,2021-05-01 11:00:00,2021-05-01,11:00:00,1
169,3,5,,5,1,2021-05-01 11:00:00,2021-05-01,11:00:00,5
170,2,,5,1,1,2021-05-01 11:00:00,2021-05-01,11:00:00,20
171,2,,1,10,1,2021-05-01 11:00:00,2021-05-01,11:00:00,1
172,1,8,1,,1,2021-05-01 11:00:00,2021-05-01,11:00:00,11
173,3,9,,9,1,2021-05-01 11:00:00,2021-05-01,11:00:00,0
174,1,8,1,,1,2021-05-01 11:00:00,2021-05-01,11:00:00,11
175,3,4,,4,1,2021-05-01 11:00:00,2021-05-01,11:00:00,0
176,3,11,,11,1,2021-05-01 11:00:00,2021-05-01,11:00:00,15
177,3,11,,11,1,2021-05-01 11:00:00,2021-05-01,11:00:00,3
178,3,7,,7,1,2021-05-01 12:00:00,2021-05-01,12:00:00,2
179,2,,7,10,1,2021-05-01 12:00:00,2021-05-01,12:00:00,19
180,1,7,1,,1,2021-05-01 12:00:00,2021-05-01,12:00:00,1
181,2,,7,4,1,2021-05-01 12:00:00,2021-05-01,12:00:00,2
182,2,,1,2,1,2021-05-01 12:00:00,2021-05-01,12:00:00,16
183,1,4,1,,1,2021-05-01 12:00:00,2021-05-01,12:00:00,4
184,3,9,,9,1,2021-05-01 12:00:00,2021-05-01,12:00:00,0
185,2,,10,5,1,2021-05-01 12:00:00,2021-05-01,12:00:00,14
186,1,6,1,,1,2021-05-01 12:00:00,2021-05-01,12:00:00,19
187,2,,3,4,1,2021-05-01 12:00:00,2021-05-01,12:00:00,20
188,1,6,1,,1,2021-05-01 12:00:00,2021-05-01,12:00:00,12
189,3,10,,10,1,2021-05-01 12:00:00,2021-05-01,12:00:00,1
190,1,7,1,,1,2021-05-01 12:00:00,2021-05-01,12:00:00,11
191,2,,3,1,1,2021-05-01 12:00:00,2021-05-01,12:00:00,12
192,1,7,1,,1,2021-05-01 13:00:00,2021-05-01,13:00:00,17
193,1,8,1,,1,2021-05-01 13:00:00,2021-05-01,13:00:00,19
194,3,8,,8,1,2021-05-01 13:00:00,2021-05-01,13:00:00,32
195,2,,4,8,1,2021-05-01 13:00:00,2021-05-01,13:00:00,9
196,2,,9,3,1,2021-05-01 13:00:00,2021-05-01,13:00:00,5
197,3,1,,1,1,2021-05-01 13:00:00,2021-05-01,13:00:00,27
198,2,,10,4,1,2021-05-01 13:00:00,2021-05-01,13:00:00,3
199,1,2,1,,1,2021-05-01 13:00:00,2021-05-01,13:00:00,8
200,1,4,1,,1,2021-05-01 13:00:00,2021-05-01,13:00:00,16
201,1,7,1,,1,2021-05-01 13:00:00,2021-05-01,13:00:00,10
202,1,11,1,,1,2021-05-01 13:00:00,2021-05-01,13:00:00,15
203,2,,2,1,1,2021-05-01 13:00:00,2021-05-01,13:00:00,14
204,3,10,,10,1,2021-05-01 13:00:00,2021-05-01,13:00:00,1
205,1,10,1,,1,2021-05-01 13:00:00,2021-05-01,13:00:00,6
206,2,,8,5,1,2021-05-01 13:00:00,2021-05-01,13:00:00,6
207,3,3,,3,1,2021-05-01 13:00:00,2021-05-01,13:00:00,25
208,2,,4,2,1,2021-05-01 13:00:00,2021-05-01,13:00:00,9
209,2,,1,3,1,2021-05-01 13:00:00,2021-05-01,13:00:00,13
210,1,5,1,,1,2021-05-01 13:00:00,2021-05-01,13:00:00,15
211,3,2,,2,1,2021-05-01 14:00:00,2021-05-01,14:00:00,2
212,2,,3,11,1,2021-05-01 14:00:00,2021-05-01,14:00:00,17
213,2,,10,8,1,2021-05-01 14:00:00,2021-05-01,14:00:00,15
214,3,9,,9,1,2021-05-01 14:00:00,2021-05-01,14:00:00,0
215,1,2,1,,1,2021-05-01 14:00:00,2021-05-01,14:00:00,5
216,1,2,1,,1,2021-05-01 14:00:00,2021-05-01,14:00:00,5
217,1,4,1,,1,2021-05-01 14:00:00,2021-05-01,14:00:00,1
218,2,,10,2,1,2021-05-01 14:00:00,2021-05-01,14:00:00,20
219,2,,7,1,1,2021-05-01 14:00:00,2021-05-01,14:00:00,5
220,3,6,,6,1,2021-05-01 14:00:00,2021-05-01,14:00:00,40
221,1,5,1,,1,2021-05-01 14:00:00,2021-05-01,14:00:00,5
222,3,8,,8,1,2021-05-01 14:00:00,2021-05-01,14:00:00,14
223,3,4,,4,1,2021-05-01 14:00:00,2021-05-01,14:00:00,10
224,2,,4,3,1,2021-05-01 14:00:00,2021-05-01,14:00:00,10
225,3,1,,1,1,2021-05-01 14:00:00,2021-05-01,14:00:00,9
226,2,,8,6,1,2021-05-01 14:00:00,2021-05-01,14:00:00,19
227,3,10,,10,1,2021-05-01 14:00:00,2021-05-01,14:00:00,3
228,2,,5,3,1,2021-05-01 15:00:00,2021-05-01,15:00:00,2
229,1,5,1,,1,2021-05-01 15:00:00,2021-05-01,15:00:00,15
230,3,3,,3,1,2021-05-01 15:00:00,2021-05-01,15:00:00,4
231,2,,2,4,1,2021-05-01 15:00:00,2021-05-01,15:00:00,3
232,2,,4,3,1,2021-05-01 15:00:00,2021-05-01,15:00:00,13
233,1,1,1,,1,2021-05-01 15:00:00,2021-05-01,15:00:00,5
234,2,,8,6,1,2021-05-01 15:00:00,2021-05-01,15:00:00,9
235,1,8,1,,1,2021-05-01 15:00:00,2021-05-01,15:00:00,9
236,3,3,,3,1,2021-05-01 15:00:00,2021-05-01,15:00:00,4
237,1,4,1,,1,2021-05-01 15:00:00,2021-05-01,15:00:00,14
238,3,9,,9,1,2021-05-01 16:00:00,2021-05-01,16:00:00,0
239,3,10,,10,1,2021-05-01 16:00:00,2021-05-01,16:00:00,1
240,3,8,,8,1,2021-05-01 16:00:00,2021-05-01,16:00:00,39
241,3,2,,2,1,2021-05-01 16:00:00,2021-05-01,16:00:00,20
242,1,3,1,,1,2021-05-01 16:00:00,2021-05-01,16:00:00,17
243,1,2,1,,1,2021-05-01 16:00:00,2021-05-01,16:00:00,6
244,1,10,1,,1,2021-05-01 16:00:00,2021-05-01,16:00:00,20
245,3,3,,3,1,2021-05-01 16:00:00,2021-05-01,16:00:00,9
246,2,,5,3,1,2021-05-01 16:00:00,2021-05-01,16:00:00,20
247,2,,4,8,1,2021-05-01 16:00:00,2021-05-01,16:00:00,16
248,1,1,1,,1,2021-05-01 16:00:00,2021-05-01,16:00:00,11
249,3,5,,5,1,2021-05-01 16:00:00,2021-05-01,16:00:00,27
250,3,1,,1,1,2021-05-01 16:00:00,2021-05-01,16:00:00,6
251,3,7,,7,1,2021-05-01 16:00:00,2021-05-01,16:00:00,27
252,2,,5,7,1,2021-05-01 16:00:00,2021-05-01,16:00:00,1
253,1,3,1,,1,2021-05-01 17:00:00,2021-05-01,17:00:00,16
254,2,,11,7,1,2021-05-01 17:00:00,2021-05-01,17:00:00,20
255,1,11,1,,1,2021-05-01 17:00:00,2021-05-01,17:00:00,5
256,1,3,1,,1,2021-05-01 17:00:00,2021-05-01,17:00:00,9
257,2,,5,9,1,2021-05-01 17:00:00,2021-05-01,17:00:00,20
258,1,11,1,,1,2021-05-01 17:00:00,2021-05-01,17:00:00,20
259,2,,4,6,1,2021-05-01 17:00:00,2021-05-01,17:00:00,10
260,1,7,1,,1,2021-05-01 17:00:00,2021-05-01,17:00:00,16
261,3,8,,8,1,2021-05-01 17:00:00,2021-05-01,17:00:00,5
262,1,3,1,,1,2021-05-01 17:00:00,2021-05-01,17:00:00,17
263,1,9,1,,1,2021-05-01 17:00:00,2021-05-01,17:00:00,4
264,1,3,1,,1,2021-05-01 18:00:00,2021-05-01,18:00:00,3
265,1,3,1,,1,2021-05-01 18:00:00,2021-05-01,18:00:00,4
266,1,7,1,,1,2021-05-01 18:00:00,2021-05-01,18:00:00,15
267,2,,5,11,1,2021-05-01 18:00:00,2021-05-01,18:00:00,1
268,3,7,,7,1,2021-05-01 18:00:00,2021-05-01,18:00:00,33
269,2,,2,11,1,2021-05-01 18:00:00,2021-05-01,18:00:00,5
270,3,11,,11,1,2021-05-01 18:00:00,2021-05-01,18:00:00,25
271,2,,4,2,1,2021-05-01 18:00:00,2021-05-01,18:00:00,10
272,1,1,1,,1,2021-05-01 18:00:00,2021-05-01,18:00:00,1
273,1,11,1,,1,2021-05-01 18:00:00,2021-05-01,18:00:00,18
274,3,6,,6,1,2021-05-01 18:00:00,2021-05-01,18:00:00,6
275,3,9,,9,1,2021-05-01 18:00:00,2021-05-01,18:00:00,3
276,3,7,,7,1,2021-05-01 18:00:00,2021-05-01,18:00:00,6
277,3,3,,3,1,2021-05-01 19:00:00,2021-05-01,19:00:00,50
278,3,3,,3,1,2021-05-01 19:00:00,2021-05-01,19:00:00,5
279,1,11,1,,1,2021-05-01 19:00:00,2021-05-01,19:00:00,10
280,3,2,,2,1,2021-05-01 19:00:00,2021-05-01,19:00:00,4
281,3,5,,5,1,2021-05-01 19:00:00,2021-05-01,19:00:00,12
282,3,9,,9,1,2021-05-01 19:00:00,2021-05-01,19:00:00,1
283,3,3,,3,1,2021-05-01 19:00:00,2021-05-01,19:00:00,7
284,2,,5,9,1,2021-05-01 19:00:00,2021-05-01,19:00:00,12
285,2,,4,1,1,2021-05-01 19:00:00,2021-05-01,19:00:00,18
286,1,4,1,,1,2021-05-01 19:00:00,2021-05-01,19:00:00,3
287,3,11,,11,1,2021-05-01 19:00:00,2021-05-01,19:00:00,5
288,1,10,1,,1,2021-05-01 19:00:00,2021-05-01,19:00:00,6
289,2,,7,4,1,2021-05-01 19:00:00,2021-05-01,19:00:00,14
290,3,6,,6,1,2021-05-01 19:00:00,2021-05-01,19:00:00,11
291,3,5,,5,1,2021-05-01 19:00:00,2021-05-01,19:00:00,1
292,3,3,,3,1,2021-05-01 19:00:00,2021-05-01,19:00:00,4
293,1,6,1,,1,2021-05-01 19:00:00,2021-05-01,19:00:00,12
294,2,,7,2,1,2021-05-01 19:00:00,2021-05-01,19:00:00,11
295,2,,7,1,1,2021-05-01 20:00:00,2021-05-01,20:00:00,1
296,2,,10,4,1,2021-05-01 20:00:00,2021-05-01,20:00:00,7
297,2,,7,5,1,2021-05-01 20:00:00,2021-05-01,20:00:00,19
298,2,,3,4,1,2021-05-01 20:00:00,2021-05-01,20:00:00,2
299,3,8,,8,1,2021-05-01 20:00:00,2021-05-01,20:00:00,1
300,2,,4,11,1,2021-05-01 20:00:00,2021-05-01,20:00:00,11
301,1,8,1,,1,2021-05-01 20:00:00,2021-05-01,20:00:00,10
302,2,,10,2,1,2021-05-01 20:00:00,2021-05-01,20:00:00,6
303,2,,8,6,1,2021-05-01 20:00:00,2021-05-01,20:00:00,11
304,2,,3,9,1,2021-05-01 20:00:00,2021-05-01,20:00:00,7
305,2,,10,2,1,2021-05-01 20:00:00,2021-05-01,20:00:00,2
306,1,11,1,,1,2021-05-01 20:00:00,2021-05-01,20:00:00,15
307,3,2,,2,1,2021-05-01 20:00:00,2021-05-01,20:00:00,2
308,1,4,1,,1,2021-05-01 20:00:00,2021-05-01,20:00:00,9
309,1,8,1,,1,2021-05-01 20:00:00,2021-05-01,20:00:00,16
310,1,9,1,,1,2021-05-01 20:00:00,2021-05-01,20:00:00,7
311,2,,6,7,1,2021-05-01 20:00:00,2021-05-01,20:00:00,14
312,2,,6,9,1,2021-05-01 21:00:00,2021-05-01,21:00:00,9
313,3,1,,1,1,2021-05-01 21:00:00,2021-05-01,21:00:00,8
314,1,8,1,,1,2021-05-01 21:00:00,2021-05-01,21:00:00,8
315,1,7,1,,1,2021-05-01 21:00:00,2021-05-01,21:00:00,17
316,3,9,,9,1,2021-05-01 21:00:00,2021-05-01,21:00:00,2
317,3,9,,9,1,2021-05-01 21:00:00,2021-05-01,21:00:00,4
318,1,7,1,,1,2021-05-01 21:00:00,2021-05-01,21:00:00,18
319,3,9,,9,1,2021-05-01 21:00:00,2021-05-01,21:00:00,1
320,1,11,1,,1,2021-05-01 21:00:00,2021-05-01,21:00:00,9
321,3,3,,3,1,2021-05-01 21:00:00,2021-05-01,21:00:00,8
322,3,8,,8,1,2021-05-01 22:00:00,2021-05-01,22:00:00,30
323,2,,6,4,1,2021-05-01 22:00:00,2021-05-01,22:00:00,16
324,2,,3,7,1,2021-05-01 22:00:00,2021-05-01,22:00:00,4
325,2,,11,5,1,2021-05-01 22:00:00,2021-05-01,22:00:00,18
326,2,,1,5,1,2021-05-01 22:00:00,2021-05-01,22:00:00,19
327,1,10,1,,1,2021-05-01 22:00:00,2021-05-01,22:00:00,10
328,1,10,1,,1,2021-05-01 22:00:00,2021-05-01,22:00:00,5
329,3,5,,5,1,2021-05-01 22:00:00,2021-05-01,22:00:00,0
330,2,,7,6,1,2021-05-01 22:00:00,2021-05-01,22:00:00,4
331,3,7,,7,1,2021-05-01 22:00:00,2021-05-01,22:00:00,16
332,1,6,1,,1,2021-05-01 22:00:00,2021-05-01,22:00:00,2
333,3,11,,11,1,2021-05-01 22:00:00,2021-05-01,22:00:00,20
334,1,4,1,,1,2021-05-01 22:00:00,2021-05-01,22:00:00,20
335,3,3,,3,1,2021-05-01 22:00:00,2021-05-01,22:00:00,1
336,2,,11,8,1,2021-05-01 22:00:00,2021-05-01,22:00:00,17
337,3,7,,7,1,2021-05-01 22:00:00,2021-05-01,22:00:00,4
338,3,6,,6,1,2021-05-01 22:00:00,2021-05-01,22:00:00,14
339,2,,1,7,1,2021-05-01 22:00:00,2021-05-01,22:00:00,15
340,2,,6,7,1,2021-05-01 22:00:00,2021-05-01,22:00:00,6
341,2,,7,1,1,2021-05-01 23:00:00,2021-05-01,23:00:00,19
342,3,11,,11,1,2021-05-01 23:00:00,2021-05-01,23:00:00,12
343,3,5,,5,1,2021-05-01 23:00:00,2021-05-01,23:00:00,0
344,1,1,1,,1,2021-05-01 23:00:00,2021-05-01,23:00:00,7
345,1,10,1,,1,2021-05-01 23:00:00,2021-05-01,23:00:00,19
346,1,2,1,,1,2021-05-01 23:00:00,2021-05-01,23:00:00,3
347,3,5,,5,1,2021-05-01 23:00:00,2021-05-01,23:00:00,0
348,2,,7,10,1,2021-05-01 23:00:00,2021-05-01,23:00:00,12
349,2,,6,4,1,2021-05-01 23:00:00,2021-05-01,23:00:00,6
350,1,4,1,,1,2021-05-01 23:00:00,2021-05-01,23:00:00,13
351,2,,5,11,1,2021-05-01 23:00:00,2021-05-01,23:00:00,5
352,3,7,,7,1,2021-05-01 23:00:00,2021-05-01,23:00:00,17
353,2,,8,9,1,2021-05-01 23:00:00,2021-05-01,23:00:00,18
354,2,,5,9,1,2021-05-01 23:00:00,2021-05-01,23:00:00,2
